"value_name","pay_value","unit_type","payroll_year","industry_branch_name","industry_code","food_name","food_code","price","price_value","price_unit","year_date"
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Kapr živý,2000001,93.46,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,"Pivo výčepní, světlé, lahvové",213201,11.81,0.5,l,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Jakostní víno bílé,212101,100.1,0.75,l,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Přírodní minerální voda uhličitá,122102,8.64,1.0,l,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Cukr krystalový,118101,15.75,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Konzumní brambory,117401,15.08,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Mrkev,117106,22.45,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Papriky,117103,60.47,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Rajská jablka červená kulatá,117101,44.49,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Jablka konzumní,116104,36.17,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Banány žluté,116103,29.32,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Pomeranče,116101,36.5,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Rostlinný roztíratelný tuk,115201,99.4,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Máslo,115101,207.08,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Vejce slepičí čerstvá,114701,38.39,10.0,ks,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Eidamská cihla,114501,142.45,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Jogurt bílý netučný,114401,9.17,150.0,g,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Mléko polotučné pasterované,114201,19.82,1.0,l,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Šunkový salám,112704,144.88,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Kuřata kuchaná celá,112401,69.31,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Vepřová pečeně s kostí,112201,116.85,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Hovězí maso zadní bez kosti,112101,223.26,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Těstoviny vaječné,111602,47.87,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Pečivo pšeničné bílé,111303,43.84,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Chléb konzumní kmínový,111301,24.24,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Pšeničná mouka hladká,111201,11.44,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,20559.50,Kč,2018,Administrativní a podpůrné činnosti,N,Rýže loupaná dlouhozrnná,111101,36.18,1.0,kg,2018
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Kapr živý,2000001,87.72,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,"Pivo výčepní, světlé, lahvové",213201,11.3,0.5,l,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Jakostní víno bílé,212101,96.7,0.75,l,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Přírodní minerální voda uhličitá,122102,8.78,1.0,l,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Cukr krystalový,118101,19.96,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Konzumní brambory,117401,15.93,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Mrkev,117106,15.03,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Papriky,117103,62.4,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Rajská jablka červená kulatá,117101,44.7,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Jablka konzumní,116104,32.63,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Banány žluté,116103,31.07,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Pomeranče,116101,36.32,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Rostlinný roztíratelný tuk,115201,94.29,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Máslo,115101,197.79,1.0,kg,2017
