"country","year","GDP","gini","taxes","population"
Albania,2006,9767379279.88863,,,2992547.0
Albania,2007,10351466806.2388,,,2970017.0
Albania,2008,11127823665.7504,30.0,,2947314.0
Albania,2009,11500613161.6647,,,2927519.0
Albania,2010,11926928505.5231,,,2913021.0
Albania,2011,12230507222.1843,,18.0220121712647,2905195.0
Albania,2012,12403877841.0321,29.0,17.4832338190971,2900401.0
Albania,2013,12528163103.1195,,16.5032748907978,2895092.0
Albania,2014,12750473701.7819,34.6,18.3019409890441,2889104.0
Albania,2015,13033375121.5884,32.9,18.5157960517393,2880703.0
Albania,2016,13465406059.6498,33.7,17.5902283762095,2876101.0
Albania,2017,13977387390.5945,33.2,18.8874860107451,2873457.0
Albania,2018,14546448944.4056,,18.5574753953261,2866376.0
Andorra,2006,3875142516.24022,,,80995.0
Andorra,2007,3935330770.25056,,,82682.0
Andorra,2008,3716558398.51518,,,83860.0
Andorra,2009,3519475009.94299,,,84461.0
Andorra,2010,3449966856.68832,,,84454.0
Andorra,2011,3449688452.87021,,,83748.0
Andorra,2012,3278085642.31738,,,82427.0
Andorra,2013,3161792390.29564,,,80770.0
Andorra,2014,3240978390.56079,,,79213.0
Andorra,2015,3287458570.8604,,,77993.0
Andorra,2016,3409412700.51704,,,77295.0
Andorra,2017,3421211719.47501,,,76997.0
Andorra,2018,3475566750.62972,,,77008.0
Austria,2006,380329113681.259,29.6,25.0504425566822,8268641.0
Austria,2007,394505559258.526,30.6,25.3919943156154,8295487.0
Austria,2008,400267011848.042,30.4,26.0775197165623,8321496.0
Austria,2009,385198647266.611,31.5,25.2251652368968,8343323.0
Austria,2010,392275107258.667,30.3,25.2816355062362,8363404.0
Austria,2011,403740513438.199,30.8,25.4279852755305,8391643.0
Austria,2012,406487747903.707,30.5,25.92819764092,8429991.0
Austria,2013,406591421433.927,30.8,26.4151730942712,8479823.0
Austria,2014,409280100109.633,30.5,26.4178983110922,8546356.0
Austria,2015,413432253216.039,30.5,26.8261674155428,8642699.0
Austria,2016,421657228102.472,30.8,25.4191692326751,8736668.0
Austria,2017,431775262676.529,29.7,25.4236447885622,8797566.0
Austria,2018,442915585749.024,30.8,25.430348081384,8840521.0
Belarus,2006,44266566187.7427,28.3,22.2230966228065,9604924.0
Belarus,2007,48073493773.2612,29.6,23.7266987288672,9560953.0
Belarus,2008,52976989868.7029,27.8,25.3533892055523,9527985.0
Belarus,2009,53082941363.8271,27.7,18.6294706290955,9506765.0
Belarus,2010,57222490768.7143,28.6,16.321438373621,9490583.0
Belarus,2011,60300321142.6581,27.2,14.5090725642403,9473172.0
Belarus,2012,61317669289.2363,26.5,14.6629750334495,9464495.0
Belarus,2013,61932974220.8466,26.6,13.3549628478795,9465997.0
Belarus,2014,63002175707.5323,27.2,12.6977245264198,9474511.0
Belarus,2015,60589462935.5585,25.6,14.1730944654204,9489616.0
Belarus,2016,59058702608.9201,25.3,13.7882356123814,9501534.0
Belarus,2017,60554177331.8333,25.4,13.0190056104974,9498264.0
Belarus,2018,62461148027.2823,25.2,14.6725689698389,9483499.0
Belgium,2006,458677622724.361,28.1,25.2877504793919,10547958
Belgium,2007,475542653709.135,29.2,24.7885375338784,10625700
Belgium,2008,477667990477.055,28.4,25.2541698756848,10709973
Belgium,2009,468015547701.557,28.6,23.7814627872664,10796493
Belgium,2010,481420882905.001,28.4,24.4682424221396,10895586
Belgium,2011,489578626676.653,28.1,24.9366568094395,11038264
Belgium,2012,493197676499.208,27.5,25.8241412500612,11106932
Belgium,2013,495462648324.133,27.7,26.1908470779882,11159407
Belgium,2014,503283690440.236,28.1,26.1345254492953,11209057
Belgium,2015,513558020680.56,27.7,24.3545378057285,11274196
Belgium,2016,520063190330.958,27.6,22.8423291844664,11331422
Belgium,2017,528496260419.776,27.4,23.4471130328923,11375158
Belgium,2018,537945351170.51,27.2,23.9898290527556,11427054
Bosnia and Herzegovina,2006,15729153560.7731,,21.6899549903613,3765422.0
Bosnia and Herzegovina,2007,16650743291.5849,33.1,21.3942696573542,3762791.0
Bosnia and Herzegovina,2008,17556851230.7796,,20.3021131798131,3754261.0
Bosnia and Herzegovina,2009,17029363372.8317,,18.9462862896253,3735945.0
Bosnia and Herzegovina,2010,17176781336.7644,,19.685676092678,3705478.0
Bosnia and Herzegovina,2011,17341594485.6047,33.0,20.3056652821355,3661173.0
Bosnia and Herzegovina,2012,17199074936.9112,,20.4775397851709,3604972.0
Bosnia and Herzegovina,2013,17603228545.3329,,19.751544642443,3542598.0
Bosnia and Herzegovina,2014,17806343590.1312,,19.7779015559579,3482106.0
Bosnia and Herzegovina,2015,18356410773.0628,,19.934215698148,3429362.0
Bosnia and Herzegovina,2016,18934602269.0509,,19.9514915061892,3386263.0
Bosnia and Herzegovina,2017,19535100848.8297,,20.2593374095498,3351534.0
