"food_name","year_2","price","unit_type","price_growth","price_value","price_unit"
Banány žluté,2007,30.85,Kč,13.0,1.0,kg
Banány žluté,2008,30.59,Kč,-0.84,1.0,kg
Banány žluté,2009,30.56,Kč,-0.1,1.0,kg
Banány žluté,2010,27.44,Kč,-10.21,1.0,kg
Banány žluté,2011,26.97,Kč,-1.71,1.0,kg
Banány žluté,2012,31.0,Kč,14.94,1.0,kg
Banány žluté,2013,31.79,Kč,2.55,1.0,kg
Banány žluté,2014,31.65,Kč,-0.44,1.0,kg
Banány žluté,2015,31.91,Kč,0.82,1.0,kg
Banány žluté,2016,31.72,Kč,-0.6,1.0,kg
Banány žluté,2017,31.07,Kč,-2.05,1.0,kg
Banány žluté,2018,29.32,Kč,-5.63,1.0,kg
Cukr krystalový,2007,21.92,Kč,0.87,1.0,kg
Cukr krystalový,2008,21.1,Kč,-3.74,1.0,kg
Cukr krystalový,2009,19.81,Kč,-6.11,1.0,kg
Cukr krystalový,2010,18.27,Kč,-7.77,1.0,kg
Cukr krystalový,2011,22.45,Kč,22.88,1.0,kg
Cukr krystalový,2012,24.27,Kč,8.11,1.0,kg
Cukr krystalový,2013,24.16,Kč,-0.45,1.0,kg
Cukr krystalový,2014,22.03,Kč,-8.82,1.0,kg
Cukr krystalový,2015,17.8,Kč,-19.2,1.0,kg
Cukr krystalový,2016,17.59,Kč,-1.18,1.0,kg
Cukr krystalový,2017,19.96,Kč,13.47,1.0,kg
Cukr krystalový,2018,15.75,Kč,-21.09,1.0,kg
Eidamská cihla,2007,122.68,Kč,10.57,1.0,kg
Eidamská cihla,2008,135.28,Kč,10.27,1.0,kg
Eidamská cihla,2009,111.67,Kč,-17.45,1.0,kg
Eidamská cihla,2010,119.95,Kč,7.41,1.0,kg
Eidamská cihla,2011,122.38,Kč,2.03,1.0,kg
Eidamská cihla,2012,128.08,Kč,4.66,1.0,kg
Eidamská cihla,2013,141.97,Kč,10.84,1.0,kg
Eidamská cihla,2014,150.61,Kč,6.09,1.0,kg
Eidamská cihla,2015,119.39,Kč,-20.73,1.0,kg
Eidamská cihla,2016,110.9,Kč,-7.11,1.0,kg
Eidamská cihla,2017,142.58,Kč,28.57,1.0,kg
Eidamská cihla,2018,142.45,Kč,-0.09,1.0,kg
Hovězí maso zadní bez kosti,2007,169.46,Kč,1.88,1.0,kg
Hovězí maso zadní bez kosti,2008,175.55,Kč,3.59,1.0,kg
Hovězí maso zadní bez kosti,2009,179.01,Kč,1.97,1.0,kg
Hovězí maso zadní bez kosti,2010,176.15,Kč,-1.6,1.0,kg
Hovězí maso zadní bez kosti,2011,180.73,Kč,2.6,1.0,kg
Hovězí maso zadní bez kosti,2012,200.81,Kč,11.11,1.0,kg
Hovězí maso zadní bez kosti,2013,207.19,Kč,3.18,1.0,kg
Hovězí maso zadní bez kosti,2014,204.95,Kč,-1.08,1.0,kg
Hovězí maso zadní bez kosti,2015,203.09,Kč,-0.91,1.0,kg
Hovězí maso zadní bez kosti,2016,206.02,Kč,1.44,1.0,kg
Hovězí maso zadní bez kosti,2017,218.27,Kč,5.95,1.0,kg
Hovězí maso zadní bez kosti,2018,223.26,Kč,2.29,1.0,kg
Chléb konzumní kmínový,2007,18.85,Kč,16.94,1.0,kg
Chléb konzumní kmínový,2008,22.88,Kč,21.38,1.0,kg
Chléb konzumní kmínový,2009,19.58,Kč,-14.42,1.0,kg
Chléb konzumní kmínový,2010,18.39,Kč,-6.08,1.0,kg
Chléb konzumní kmínový,2011,21.63,Kč,17.62,1.0,kg
Chléb konzumní kmínový,2012,22.91,Kč,5.92,1.0,kg
Chléb konzumní kmínový,2013,23.12,Kč,0.92,1.0,kg
Chléb konzumní kmínový,2014,23.0,Kč,-0.52,1.0,kg
Chléb konzumní kmínový,2015,22.44,Kč,-2.43,1.0,kg
Chléb konzumní kmínový,2016,21.77,Kč,-2.99,1.0,kg
Chléb konzumní kmínový,2017,24.17,Kč,11.02,1.0,kg
Chléb konzumní kmínový,2018,24.24,Kč,0.29,1.0,kg
Jablka konzumní,2007,28.49,Kč,-7.23,1.0,kg
Jablka konzumní,2008,33.19,Kč,16.5,1.0,kg
Jablka konzumní,2009,25.85,Kč,-22.12,1.0,kg
Jablka konzumní,2010,25.28,Kč,-2.21,1.0,kg
Jablka konzumní,2011,29.17,Kč,15.39,1.0,kg
Jablka konzumní,2012,31.0,Kč,6.27,1.0,kg
Jablka konzumní,2013,34.3,Kč,10.65,1.0,kg
Jablka konzumní,2014,30.52,Kč,-11.02,1.0,kg
Jablka konzumní,2015,29.87,Kč,-2.13,1.0,kg
Jablka konzumní,2016,29.94,Kč,0.23,1.0,kg
Jablka konzumní,2017,32.63,Kč,8.98,1.0,kg
Jablka konzumní,2018,36.17,Kč,10.85,1.0,kg
Jakostní víno bílé,2016,94.65,Kč,2.41,0.75,l
Jakostní víno bílé,2017,96.7,Kč,2.17,0.75,l
Jakostní víno bílé,2018,100.1,Kč,3.52,0.75,l
Jogurt bílý netučný,2007,5.88,Kč,0.86,150.0,g
Jogurt bílý netučný,2008,6.28,Kč,6.8,150.0,g
Jogurt bílý netučný,2009,6.08,Kč,-3.18,150.0,g
Jogurt bílý netučný,2010,6.26,Kč,2.96,150.0,g
Jogurt bílý netučný,2011,6.51,Kč,3.99,150.0,g
Jogurt bílý netučný,2012,7.16,Kč,9.98,150.0,g
Jogurt bílý netučný,2013,7.7,Kč,7.54,150.0,g
