"industry_branch_name";"year_p";"pay_growth"
Administrativní a podpůrné činnosti;2007;5.36
Administrativní a podpůrné činnosti;2008;2.13
Administrativní a podpůrné činnosti;2009;3.28
Administrativní a podpůrné činnosti;2010;0.66
Administrativní a podpůrné činnosti;2011;2.86
Administrativní a podpůrné činnosti;2012;2.87
Administrativní a podpůrné činnosti;2013;-0.36
Administrativní a podpůrné činnosti;2014;1.63
Administrativní a podpůrné činnosti;2015;2.21
Administrativní a podpůrné činnosti;2016;5.82
Administrativní a podpůrné činnosti;2017;6.41
Administrativní a podpůrné činnosti;2018;7.00
Činnosti v oblasti nemovitostí;2007;7.91
Činnosti v oblasti nemovitostí;2008;1.87
Činnosti v oblasti nemovitostí;2009;0.44
Činnosti v oblasti nemovitostí;2010;2.41
Činnosti v oblasti nemovitostí;2011;4.36
Činnosti v oblasti nemovitostí;2012;1.31
Činnosti v oblasti nemovitostí;2013;-1.69
Činnosti v oblasti nemovitostí;2014;3.07
Činnosti v oblasti nemovitostí;2015;3.49
Činnosti v oblasti nemovitostí;2016;4.39
Činnosti v oblasti nemovitostí;2017;6.37
Činnosti v oblasti nemovitostí;2018;7.70
Doprava a skladování;2007;7.31
Doprava a skladování;2008;8.12
Doprava a skladování;2009;2.97
Doprava a skladování;2010;0.23
Doprava a skladování;2011;0.03
Doprava a skladování;2012;1.03
Doprava a skladování;2013;0.54
Doprava a skladování;2014;2.00
Doprava a skladování;2015;3.24
Doprava a skladování;2016;4.70
Doprava a skladování;2017;6.35
Doprava a skladování;2018;7.36
Informační a komunikační činnosti;2007;6.53
Informační a komunikační činnosti;2008;9.68
Informační a komunikační činnosti;2009;3.23
Informační a komunikační činnosti;2010;1.50
Informační a komunikační činnosti;2011;3.47
Informační a komunikační činnosti;2012;3.05
Informační a komunikační činnosti;2013;-1.01
Informační a komunikační činnosti;2014;3.67
Informační a komunikační činnosti;2015;2.21
Informační a komunikační činnosti;2016;2.55
Informační a komunikační činnosti;2017;5.18
Informační a komunikační činnosti;2018;7.42
Kulturní, zábavní a rekreační činnosti;2007;6.41
Kulturní, zábavní a rekreační činnosti;2008;5.23
Kulturní, zábavní a rekreační činnosti;2009;4.42
Kulturní, zábavní a rekreační činnosti;2010;1.77
Kulturní, zábavní a rekreační činnosti;2011;-0.05
Kulturní, zábavní a rekreační činnosti;2012;5.03
Kulturní, zábavní a rekreační činnosti;2013;-1.38
Kulturní, zábavní a rekreační činnosti;2014;4.06
Kulturní, zábavní a rekreační činnosti;2015;3.56
Kulturní, zábavní a rekreační činnosti;2016;6.59
Kulturní, zábavní a rekreační činnosti;2017;8.74
Kulturní, zábavní a rekreační činnosti;2018;10.95
Ostatní činnosti;2007;6.66
Ostatní činnosti;2008;2.83
Ostatní činnosti;2009;1.82
Ostatní činnosti;2010;0.12
Ostatní činnosti;2011;4.75
Ostatní činnosti;2012;1.07
Ostatní činnosti;2013;1.45
Ostatní činnosti;2014;1.50
Ostatní činnosti;2015;2.81
Ostatní činnosti;2016;3.06
Ostatní činnosti;2017;4.47
Ostatní činnosti;2018;5.95
Peněžnictví a pojišťovnictví;2007;4.68
Peněžnictví a pojišťovnictví;2008;7.88
Peněžnictví a pojišťovnictví;2009;1.30
