"industry_branch_name","industry_code"
Administrativní a podpůrné činnosti,N
Činnosti v oblasti nemovitostí,L
Informační a komunikační činnosti,J
"Kulturní, zábavní a rekreační činnosti",R
Peněžnictví a pojišťovnictví,K
"Profesní, vědecké a technické činnosti",M
Stavebnictví,F
Těžba a dobývání,B
"Ubytování, stravování a pohostinství",I
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,G
Veřejná správa a obrana; povinné sociální zabezpečení,O
"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",D
Vzdělávání,P
Zásobování vodou; činnosti související s odpady a sanacemi,E
"Zemědělství, lesnictví, rybářství",A
